time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	-9.25596e+061	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000724513	3.25261e-018	1.04083e-017	lidar	0.000275947	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47146	0.2488	-0.00552851	1.94182e-006	2.67084e-007	radar	0.125965	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46433	0.250982	-0.00851539	-1.26117e-005	-2.16345e-006	lidar	0.00654041	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37771	0.251329	-1.04793	0.000712721	0.000227655	radar	16.7176	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.3058	0.250664	-1.06936	0.00201168	0.000582393	lidar	0.293341	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10135	0.240137	-1.46914	0.0842344	0.0292005	radar	15.0431	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.99092	0.209428	-1.52385	0.209131	0.0674378	lidar	1.60441	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.8119	0.210556	-1.80104	-0.132998	-0.0786659	radar	6.60898	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.69415	0.186794	-1.87075	0.042015	-0.00857277	lidar	1.54432	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.58219	0.155266	-1.98578	0.159287	0.0391454	radar	0.673873	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.45811	0.0801485	-2.05242	0.376151	0.137878	lidar	1.01595	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.28832	0.112321	-2.39411	0.027846	-0.23867	radar	3.30306	7.20598	0.00492725	7.2	9.49949e-007	-2.72851	-0.909507
1477010444079717	7.13904	0.0198557	-2.49378	0.219535	-0.0941823	lidar	0.951439	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.03368	-0.0771752	-2.29499	0.387543	0.170043	radar	2.57896	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.90819	-0.190851	-2.37142	0.515944	0.304209	lidar	0.594969	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.7939	-0.263701	-2.44713	0.530513	0.237747	radar	0.486287	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.68252	-0.380167	-2.53437	0.620641	0.33781	lidar	0.585709	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.63898	-0.55288	-2.43343	0.968065	1.24829	radar	4.23728	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.57273	-0.653132	-2.43443	1.02745	1.24276	lidar	0.0087933	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.52788	-0.818251	-2.51008	1.23889	1.60981	radar	0.858006	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.48375	-0.978932	-2.58212	1.34278	1.61135	lidar	0.373652	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.37575	-1.04101	-2.34931	1.10801	0.768293	radar	7.2555	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.30618	-1.18282	-2.42608	1.14666	0.744009	lidar	0.427505	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.403	-1.37579	-2.42179	1.61524	1.80739	radar	27.3827	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.40243	-1.54951	-2.54268	1.71351	1.79129	lidar	0.799792	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.3492	-1.60344	-2.06946	1.57954	1.22166	radar	11.1644	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.32515	-1.77071	-2.23937	1.61155	1.14969	lidar	2.32782	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.37063	-1.94894	-2.54619	1.78439	1.44044	radar	6.51747	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.38467	-2.11642	-2.66235	1.83137	1.38823	lidar	0.995202	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.37192	-2.2461	-2.44728	1.79762	1.11837	radar	4.49046	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.38509	-2.42584	-2.56784	1.8223	1.04984	lidar	1.07391	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.43136	-2.59332	-2.714	1.89363	1.09724	radar	0.899246	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.46488	-2.76675	-2.79097	1.92392	1.04638	lidar	0.439786	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.47266	-2.89334	-2.61049	1.9028	0.866627	radar	2.64084	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.49217	-3.05815	-2.69984	1.90381	0.797566	lidar	0.716484	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.54726	-3.22181	-2.8201	1.95229	0.826979	radar	0.609584	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.58656	-3.39558	-2.88268	1.96393	0.773148	lidar	0.371111	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.66873	-3.5611	-3.05857	2.03407	0.856071	radar	1.16938	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.74543	-3.72171	-3.08435	2.0735	0.842209	lidar	0.0753511	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.80285	-3.85824	-2.90406	2.08439	0.748933	radar	1.40459	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.87191	-4.01663	-2.9393	2.1043	0.713875	lidar	0.127768	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.9286	-4.14882	-2.79561	2.11141	0.637245	radar	0.930873	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	6.98719	-4.30499	-2.8301	2.11335	0.584314	lidar	0.244312	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.02022	-4.41514	-2.47832	2.08897	0.437248	radar	4.70157	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.07517	-4.54179	-2.4871	2.09667	0.411919	lidar	0.0779285	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.14051	-4.66338	-2.4967	2.11371	0.403742	radar	0.028185	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.18903	-4.80994	-2.53411	2.09663	0.341588	lidar	0.305125	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.29788	-4.96425	-2.87601	2.15396	0.447653	radar	3.81592	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.35949	-5.12052	-2.90283	2.13891	0.385639	lidar	0.287473	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.42097	-5.25074	-2.79926	2.13263	0.329068	radar	0.58978	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.48082	-5.40848	-2.83276	2.11234	0.269009	lidar	0.228155	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.55942	-5.54358	-2.81626	2.1213	0.255725	radar	0.145856	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.64153	-5.67136	-2.81308	2.13856	0.260702	lidar	0.00165732	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.70605	-5.79297	-2.71709	2.1362	0.22463	radar	0.433598	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.76783	-5.93472	-2.73266	2.12257	0.184985	lidar	0.106971	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.89072	-6.08446	-3.16842	2.18516	0.322297	radar	6.83267	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	7.9717	-6.22467	-3.18135	2.18484	0.296827	lidar	0.0416897	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.05213	-6.35276	-2.97695	2.1806	0.241511	radar	1.8086	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.15293	-6.47356	-2.96399	2.2079	0.26342	lidar	0.0324131	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.22481	-6.58875	-2.80767	2.20557	0.225364	radar	0.983209	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.29436	-6.73054	-2.81885	2.18838	0.179832	lidar	0.138237	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.37725	-6.85381	-2.81636	2.19484	0.175608	radar	0.232981	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.46321	-6.97435	-2.80748	2.20412	0.175325	lidar	0.032195	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.53074	-7.08052	-2.74179	2.20214	0.154355	radar	0.381728	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.58799	-7.21355	-2.75778	2.17524	0.100937	lidar	0.180372	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.70258	-7.35575	-3.09651	2.20995	0.179559	radar	4.18092	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.77083	-7.50475	-3.11632	2.18199	0.122137	lidar	0.197059	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.81726	-7.62227	-2.72809	2.13839	0.00492865	radar	5.66137	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.8812	-7.75626	-2.72876	2.12037	-0.0230472	lidar	0.0809325	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	8.95858	-7.88048	-2.82163	2.1258	-0.00267844	radar	0.365287	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.00716	-8.01972	-2.83477	2.09199	-0.0539039	lidar	0.183633	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.02831	-8.12937	-2.50015	2.03379	-0.17697	radar	4.38163	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.08075	-8.2526	-2.49665	2.0174	-0.186921	lidar	0.0315361	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.16178	-8.38407	-2.71143	2.03961	-0.111403	radar	1.73932	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.19747	-8.52487	-2.73186	2.00015	-0.162034	lidar	0.180471	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
